,date,ADMIN0,ADMIN1,ADMIN2,CS
131,2010-01-01,Ethiopia,Amhara,Oromia,2.0
133,2010-01-01,Ethiopia,Amhara,South Gondar,2.0
243,2010-01-01,Ethiopia,SNNPR,South Omo,3.0
135,2010-01-01,Ethiopia,Amhara,South Wollo,2.0
137,2010-01-01,Ethiopia,Amhara,Argoba,2.0
246,2010-01-01,Ethiopia,Amhara,Wag Himra,3.0
139,2010-01-01,Ethiopia,Oromia,West Arsi,2.0
141,2010-01-01,Ethiopia,Oromia,West Shewa,2.0
6146,2010-01-01,Ethiopia,Tigray,West Tigray,1.0
143,2010-01-01,Ethiopia,SNNPR,Wolayita,2.0
6147,2010-01-01,Ethiopia,SNNPR,Yem,1.0
146,2010-01-01,Ethiopia,Afar,Gabi,2.0
148,2010-01-01,Ethiopia,Afar,Khari,2.0
149,2010-01-01,Ethiopia,Tigray,Northwest Tigray,2.0
6154,2010-01-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
6158,2010-01-01,Ethiopia,Oromia,South West Shewa,1.0
156,2010-01-01,Ethiopia,SNNPR,Hadiya,2.0
158,2010-01-01,Ethiopia,SNNPR,Silltie,2.0
123,2010-01-01,Ethiopia,Harari,Harari,2.0
6159,2010-01-01,Ethiopia,Amhara,North Gondar,1.0
6143,2010-01-01,Ethiopia,Amhara,West Gojam,1.0
6119,2010-01-01,Ethiopia,Amhara,Awi,1.0
6152,2010-01-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
7017,2010-01-01,Ethiopia,Addis Ababa,Region 14,99.0
160,2009-10-01,Ethiopia,SNNPR,Segen,3.0
161,2009-10-01,Ethiopia,Oromia,Bale,3.0
162,2009-10-01,Ethiopia,Oromia,Borena,3.0
4702,2009-10-01,Ethiopia,Somali,Jarar,4.0
6222,2009-10-01,Ethiopia,Oromia,East Wellega,1.0
177,2009-10-01,Ethiopia,SNNPR,Gedeo,3.0
178,2009-10-01,Ethiopia,Oromia,Gujii,3.0
6228,2009-10-01,Ethiopia,Oromia,Ilubabor,1.0
182,2009-10-01,Ethiopia,Somali,Fafan,3.0
6231,2009-10-01,Ethiopia,Oromia,Kelem,1.0
4704,2009-10-01,Ethiopia,Somali,Korahe,4.0
187,2009-10-01,Ethiopia,Somali,Liben,3.0
189,2009-10-01,Ethiopia,Amhara,North Wollo,3.0
190,2009-10-01,Ethiopia,Gambela,Nuer,3.0
192,2009-10-01,Ethiopia,Somali,Sitti,3.0
196,2009-10-01,Ethiopia,Tigray,South Tigray,3.0
200,2009-10-01,Ethiopia,Oromia,West Hararge,3.0
6241,2009-10-01,Ethiopia,Oromia,West Wellega,1.0
205,2009-10-01,Ethiopia,Afar,Awusi,3.0
207,2009-10-01,Ethiopia,Afar,Fanti,3.0
4708,2009-10-01,Ethiopia,Somali,Shebelle,4.0
211,2009-10-01,Ethiopia,Gambela,Itang,3.0
6247,2009-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
212,2009-10-01,Ethiopia,Gambela,Agniwak,3.0
213,2009-10-01,Ethiopia,Oromia,East Hararge,3.0
214,2009-10-01,Ethiopia,Tigray,East Tigray,3.0
6251,2009-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
6252,2009-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
217,2009-10-01,Ethiopia,Afar,Kilbati,3.0
4711,2009-10-01,Ethiopia,Somali,Nogob,4.0
4712,2009-10-01,Ethiopia,Somali,Dollo,4.0
6211,2009-10-01,Ethiopia,SNNPR,Sheka,1.0
163,2009-10-01,Ethiopia,SNNPR,Sidama,3.0
4701,2009-10-01,Ethiopia,Somali,Afder,4.0
165,2009-10-01,Ethiopia,SNNPR,Alaba,3.0
166,2009-10-01,Ethiopia,Oromia,Arsi,3.0
6217,2009-10-01,Ethiopia,SNNPR,Basketo,1.0
6218,2009-10-01,Ethiopia,SNNPR,Bench Maji,1.0
6262,2009-10-01,Ethiopia,Tigray,Central Tigray,2.0
6263,2009-10-01,Ethiopia,SNNPR,Dawro,2.0
6264,2009-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
6220,2009-10-01,Ethiopia,Amhara,East Gojam,1.0
6221,2009-10-01,Ethiopia,Oromia,East Shewa,1.0
176,2009-10-01,Ethiopia,SNNPR,Gamo Gofa,3.0
179,2009-10-01,Ethiopia,SNNPR,Gurage,3.0
6227,2009-10-01,Ethiopia,Oromia,Horo Guduru,1.0
6229,2009-10-01,Ethiopia,Oromia,Jimma,1.0
184,2009-10-01,Ethiopia,SNNPR,Kembata Tembaro,3.0
6230,2009-10-01,Ethiopia,SNNPR,Keffa,1.0
6232,2009-10-01,Ethiopia,SNNPR,Konta,1.0
6233,2009-10-01,Ethiopia,Gambela,Mezhenger,1.0
6276,2009-10-01,Ethiopia,Amhara,North Shewa,2.0
191,2009-10-01,Ethiopia,Amhara,Oromia,3.0
6235,2009-10-01,Ethiopia,Amhara,South Gondar,1.0
194,2009-10-01,Ethiopia,SNNPR,South Omo,3.0
195,2009-10-01,Ethiopia,Amhara,South Wollo,3.0
197,2009-10-01,Ethiopia,Amhara,Argoba,3.0
198,2009-10-01,Ethiopia,Amhara,Wag Himra,3.0
199,2009-10-01,Ethiopia,Oromia,West Arsi,3.0
6287,2009-10-01,Ethiopia,Oromia,West Shewa,2.0
6242,2009-10-01,Ethiopia,Tigray,West Tigray,1.0
203,2009-10-01,Ethiopia,SNNPR,Wolayita,3.0
6243,2009-10-01,Ethiopia,SNNPR,Yem,1.0
6292,2009-10-01,Ethiopia,Afar,Gabi,2.0
208,2009-10-01,Ethiopia,Afar,Khari,3.0
6294,2009-10-01,Ethiopia,Tigray,Northwest Tigray,2.0
6250,2009-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
6254,2009-10-01,Ethiopia,Oromia,South West Shewa,1.0
219,2009-10-01,Ethiopia,SNNPR,Hadiya,3.0
221,2009-10-01,Ethiopia,SNNPR,Silltie,3.0
6270,2009-10-01,Ethiopia,Harari,Harari,2.0
6255,2009-10-01,Ethiopia,Amhara,North Gondar,1.0
6239,2009-10-01,Ethiopia,Amhara,West Gojam,1.0
6216,2009-10-01,Ethiopia,Amhara,Awi,1.0
6248,2009-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
7028,2009-10-01,Ethiopia,Addis Ababa,Region 14,99.0
313,2018-10-01,Ethiopia,SNNPR,Segen,1.0
263,2018-10-01,Ethiopia,Oromia,Bale,2.0
264,2018-10-01,Ethiopia,Oromia,Borena,2.0
2458,2018-10-01,Ethiopia,Somali,Jarar,3.0
328,2018-10-01,Ethiopia,Oromia,East Wellega,1.0
2460,2018-10-01,Ethiopia,SNNPR,Gedeo,3.0
331,2018-10-01,Ethiopia,Oromia,Gujii,1.0
334,2018-10-01,Ethiopia,Oromia,Ilubabor,1.0
279,2018-10-01,Ethiopia,Somali,Fafan,2.0
338,2018-10-01,Ethiopia,Oromia,Kelem,1.0
2466,2018-10-01,Ethiopia,Somali,Korahe,3.0
283,2018-10-01,Ethiopia,Somali,Liben,2.0
285,2018-10-01,Ethiopia,Amhara,North Wollo,2.0
343,2018-10-01,Ethiopia,Gambela,Nuer,1.0
287,2018-10-01,Ethiopia,Somali,Sitti,2.0
291,2018-10-01,Ethiopia,Tigray,South Tigray,2.0
2471,2018-10-01,Ethiopia,Oromia,West Hararge,3.0
355,2018-10-01,Ethiopia,Oromia,West Wellega,1.0
299,2018-10-01,Ethiopia,Afar,Awusi,2.0
301,2018-10-01,Ethiopia,Afar,Fanti,2.0
303,2018-10-01,Ethiopia,Somali,Shebelle,2.0
364,2018-10-01,Ethiopia,Gambela,Itang,1.0
365,2018-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
367,2018-10-01,Ethiopia,Gambela,Agniwak,1.0
2480,2018-10-01,Ethiopia,Oromia,East Hararge,3.0
307,2018-10-01,Ethiopia,Tigray,East Tigray,2.0
369,2018-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
370,2018-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
2484,2018-10-01,Ethiopia,Afar,Kilbati,3.0
2485,2018-10-01,Ethiopia,Somali,Nogob,3.0
2486,2018-10-01,Ethiopia,Somali,Dollo,3.0
315,2018-10-01,Ethiopia,SNNPR,Sheka,1.0
317,2018-10-01,Ethiopia,SNNPR,Sidama,1.0
266,2018-10-01,Ethiopia,Somali,Afder,2.0
319,2018-10-01,Ethiopia,SNNPR,Alaba,1.0
320,2018-10-01,Ethiopia,Oromia,Arsi,1.0
322,2018-10-01,Ethiopia,SNNPR,Basketo,1.0
323,2018-10-01,Ethiopia,SNNPR,Bench Maji,1.0
270,2018-10-01,Ethiopia,Tigray,Central Tigray,2.0
325,2018-10-01,Ethiopia,SNNPR,Dawro,1.0
272,2018-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
326,2018-10-01,Ethiopia,Amhara,East Gojam,1.0
327,2018-10-01,Ethiopia,Oromia,East Shewa,1.0
329,2018-10-01,Ethiopia,SNNPR,Gamo Gofa,1.0
332,2018-10-01,Ethiopia,SNNPR,Gurage,1.0
333,2018-10-01,Ethiopia,Oromia,Horo Guduru,1.0
335,2018-10-01,Ethiopia,Oromia,Jimma,1.0
336,2018-10-01,Ethiopia,SNNPR,Kembata Tembaro,1.0
337,2018-10-01,Ethiopia,SNNPR,Keffa,1.0
339,2018-10-01,Ethiopia,SNNPR,Konta,1.0
340,2018-10-01,Ethiopia,Gambela,Mezhenger,1.0
341,2018-10-01,Ethiopia,Amhara,North Shewa,1.0
344,2018-10-01,Ethiopia,Amhara,Oromia,1.0
288,2018-10-01,Ethiopia,Amhara,South Gondar,2.0
289,2018-10-01,Ethiopia,SNNPR,South Omo,2.0
290,2018-10-01,Ethiopia,Amhara,South Wollo,2.0
