,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
216,2010-01-01,3.0,Ethiopia,Somali,Afder
217,2010-01-01,3.0,Ethiopia,Gambela,Agnewak
218,2010-01-01,3.0,Ethiopia,SNNP,Alle
219,2010-01-01,3.0,Ethiopia,SNNP,Amaro
4861,2010-01-01,2.0,Ethiopia,Oromia,Arsi
6671,2010-01-01,1.0,Ethiopia,Benishangul Gumz,Asosa
220,2010-01-01,3.0,Ethiopia,Oromia,Bale
6674,2010-01-01,1.0,Ethiopia,SNNP,Basketo
6675,2010-01-01,1.0,Ethiopia,SNNP,Bench Maji
223,2010-01-01,3.0,Ethiopia,Oromia,Borena
224,2010-01-01,3.0,Ethiopia,SNNP,Burji
4867,2010-01-01,2.0,Ethiopia,Tigray,Central
227,2010-01-01,3.0,Ethiopia,Somali,Daawa
4869,2010-01-01,2.0,Ethiopia,SNNP,Dawuro
228,2010-01-01,3.0,Ethiopia,SNNP,Derashe
4871,2010-01-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
229,2010-01-01,3.0,Ethiopia,Somali,Doolo
6680,2010-01-01,1.0,Ethiopia,Amhara,East Gojam
4874,2010-01-01,2.0,Ethiopia,Oromia,East Hararge
4875,2010-01-01,2.0,Ethiopia,Oromia,East Shewa
6682,2010-01-01,1.0,Ethiopia,Oromia,East Wellega
232,2010-01-01,3.0,Ethiopia,Somali,Erer
4879,2010-01-01,2.0,Ethiopia,Somali,Fafan
6684,2010-01-01,1.0,Ethiopia,Oromia,Finfine Special
4881,2010-01-01,2.0,Ethiopia,SNNP,Gamo
4882,2010-01-01,2.0,Ethiopia,SNNP,Gedeo
4883,2010-01-01,2.0,Ethiopia,SNNP,Gofa
237,2010-01-01,3.0,Ethiopia,Oromia,Guji
4885,2010-01-01,2.0,Ethiopia,SNNP,Guraghe
4886,2010-01-01,2.0,Ethiopia,SNNP,Hadiya
4887,2010-01-01,2.0,Ethiopia,SNNP,Halaba Special
6690,2010-01-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
6691,2010-01-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
239,2010-01-01,3.0,Ethiopia,Somali,Jarar
6692,2010-01-01,1.0,Ethiopia,Oromia,Jimma
6693,2010-01-01,1.0,Ethiopia,SNNP,Kefa
6695,2010-01-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
4892,2010-01-01,2.0,Ethiopia,SNNP,Kembata Tibaro
241,2010-01-01,3.0,Ethiopia,SNNP,Konso
6696,2010-01-01,1.0,Ethiopia,SNNP,Konta Special
243,2010-01-01,3.0,Ethiopia,Somali,Korahe
244,2010-01-01,3.0,Ethiopia,Somali,Liban
6698,2010-01-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
6699,2010-01-01,1.0,Ethiopia,Gambela,Mejenger
4896,2010-01-01,2.0,Ethiopia,SNNP,Mirab Omo
247,2010-01-01,3.0,Ethiopia,Somali,Nogob
4898,2010-01-01,2.0,Ethiopia,Amhara,North Shewa
4900,2010-01-01,2.0,Ethiopia,Amhara,North Wello
4901,2010-01-01,2.0,Ethiopia,Tigray,North Western
4902,2010-01-01,2.0,Ethiopia,Amhara,Oromia
253,2010-01-01,3.0,Ethiopia,Somali,Shabelle
6708,2010-01-01,1.0,Ethiopia,SNNP,Sheka
4903,2010-01-01,2.0,Ethiopia,SNNP,Sidama
4904,2010-01-01,2.0,Ethiopia,SNNP,Siltie
4905,2010-01-01,2.0,Ethiopia,Somali,Siti
4907,2010-01-01,2.0,Ethiopia,Amhara,South Gondar
256,2010-01-01,3.0,Ethiopia,SNNP,South Omo
4909,2010-01-01,2.0,Ethiopia,Amhara,South Wello
6713,2010-01-01,1.0,Ethiopia,Oromia,South West Shewa
258,2010-01-01,3.0,Ethiopia,Tigray,Southern
259,2010-01-01,3.0,Ethiopia,Amhara,Wag Hamra
