,date,CS,ADMIN0,ADMIN1,ADMIN2
5683,2013-04-01,1.0,Ethiopia,Oromia,Ilubabor
4478,2013-04-01,2.0,Ethiopia,Somali,Fafan
5686,2013-04-01,1.0,Ethiopia,Oromia,Kelem
4479,2013-04-01,2.0,Ethiopia,Somali,Korahe
1026,2013-04-01,3.0,Ethiopia,Somali,Liben
4874,2013-04-01,3.0,Ethiopia,Amhara,North Wollo
5690,2013-04-01,1.0,Ethiopia,Gambela,Nuer
4876,2013-04-01,3.0,Ethiopia,Somali,Sitti
4879,2013-04-01,3.0,Ethiopia,Tigray,South Tigray
4883,2013-04-01,3.0,Ethiopia,Oromia,West Hararge
5698,2013-04-01,1.0,Ethiopia,Oromia,West Wellega
1040,2013-04-01,3.0,Ethiopia,Afar,Awusi
4886,2013-04-01,3.0,Ethiopia,Afar,Fanti
4492,2013-04-01,2.0,Ethiopia,Somali,Shebelle
5703,2013-04-01,1.0,Ethiopia,Gambela,Itang
5704,2013-04-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5706,2013-04-01,1.0,Ethiopia,Gambela,Agniwak
4888,2013-04-01,3.0,Ethiopia,Oromia,East Hararge
4889,2013-04-01,3.0,Ethiopia,Tigray,East Tigray
5708,2013-04-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5709,2013-04-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
4890,2013-04-01,3.0,Ethiopia,Afar,Kilbati
4496,2013-04-01,2.0,Ethiopia,Somali,Nogob
4497,2013-04-01,2.0,Ethiopia,Somali,Dollo
5667,2013-04-01,1.0,Ethiopia,SNNPR,Sheka
1011,2013-04-01,3.0,Ethiopia,SNNPR,Sidama
4468,2013-04-01,2.0,Ethiopia,Somali,Afder
1013,2013-04-01,3.0,Ethiopia,SNNPR,Alaba
5670,2013-04-01,1.0,Ethiopia,Oromia,Arsi
5672,2013-04-01,1.0,Ethiopia,SNNPR,Basketo
5673,2013-04-01,1.0,Ethiopia,SNNPR,Bench Maji
1016,2013-04-01,3.0,Ethiopia,Tigray,Central Tigray
5674,2013-04-01,1.0,Ethiopia,SNNPR,Dawro
4867,2013-04-01,3.0,Ethiopia,Dire Dawa,Dire Dawa
5675,2013-04-01,1.0,Ethiopia,Amhara,East Gojam
5676,2013-04-01,1.0,Ethiopia,Oromia,East Shewa
1020,2013-04-01,3.0,Ethiopia,SNNPR,Gamo Gofa
5681,2013-04-01,1.0,Ethiopia,SNNPR,Gurage
5682,2013-04-01,1.0,Ethiopia,Oromia,Horo Guduru
5684,2013-04-01,1.0,Ethiopia,Oromia,Jimma
1024,2013-04-01,3.0,Ethiopia,SNNPR,Kembata Tembaro
5685,2013-04-01,1.0,Ethiopia,SNNPR,Keffa
5687,2013-04-01,1.0,Ethiopia,SNNPR,Konta
5688,2013-04-01,1.0,Ethiopia,Gambela,Mezhenger
5689,2013-04-01,1.0,Ethiopia,Amhara,North Shewa
1029,2013-04-01,3.0,Ethiopia,Amhara,Oromia
5691,2013-04-01,1.0,Ethiopia,Amhara,South Gondar
3333,2013-04-01,2.0,Ethiopia,SNNPR,South Omo
4878,2013-04-01,3.0,Ethiopia,Amhara,South Wollo
4880,2013-04-01,3.0,Ethiopia,Amhara,Argoba
4881,2013-04-01,3.0,Ethiopia,Amhara,Wag Himra
5694,2013-04-01,1.0,Ethiopia,Oromia,West Arsi
5697,2013-04-01,1.0,Ethiopia,Oromia,West Shewa
5699,2013-04-01,1.0,Ethiopia,Tigray,West Tigray
1039,2013-04-01,3.0,Ethiopia,SNNPR,Wolayita
5700,2013-04-01,1.0,Ethiopia,SNNPR,Yem
1041,2013-04-01,3.0,Ethiopia,Afar,Gabi
1043,2013-04-01,3.0,Ethiopia,Afar,Khari
3341,2013-04-01,2.0,Ethiopia,Tigray,Northwest Tigray
5707,2013-04-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
5711,2013-04-01,1.0,Ethiopia,Oromia,South West Shewa
3349,2013-04-01,2.0,Ethiopia,SNNPR,Hadiya
1056,2013-04-01,3.0,Ethiopia,SNNPR,Silltie
4498,2013-04-01,2.0,Ethiopia,Oromia,North Shewa
4871,2013-04-01,3.0,Ethiopia,Harari,Harari
5712,2013-04-01,1.0,Ethiopia,Amhara,North Gondar
5695,2013-04-01,1.0,Ethiopia,Amhara,West Gojam
5671,2013-04-01,1.0,Ethiopia,Amhara,Awi
5705,2013-04-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6931,2013-04-01,99.0,Ethiopia,Addis Ababa,Region 14
1057,2011-04-01,3.0,Ethiopia,SNNPR,Segen
1058,2011-04-01,3.0,Ethiopia,Oromia,Bale
1059,2011-04-01,3.0,Ethiopia,Oromia,Borena
4743,2011-04-01,4.0,Ethiopia,Somali,Jarar
6340,2011-04-01,1.0,Ethiopia,Oromia,East Wellega
1072,2011-04-01,3.0,Ethiopia,SNNPR,Gedeo
1073,2011-04-01,3.0,Ethiopia,Oromia,Gujii
6346,2011-04-01,1.0,Ethiopia,Oromia,Ilubabor
1076,2011-04-01,3.0,Ethiopia,Somali,Fafan
6349,2011-04-01,1.0,Ethiopia,Oromia,Kelem
4745,2011-04-01,4.0,Ethiopia,Somali,Korahe
1081,2011-04-01,3.0,Ethiopia,Somali,Liben
1262,2011-04-01,2.0,Ethiopia,Amhara,North Wollo
1084,2011-04-01,3.0,Ethiopia,Gambela,Nuer
1086,2011-04-01,3.0,Ethiopia,Somali,Sitti
1269,2011-04-01,2.0,Ethiopia,Tigray,South Tigray
1273,2011-04-01,2.0,Ethiopia,Oromia,West Hararge
6360,2011-04-01,1.0,Ethiopia,Oromia,West Wellega
1096,2011-04-01,3.0,Ethiopia,Afar,Awusi
1098,2011-04-01,3.0,Ethiopia,Afar,Fanti
4747,2011-04-01,4.0,Ethiopia,Somali,Shebelle
1283,2011-04-01,2.0,Ethiopia,Gambela,Itang
1284,2011-04-01,2.0,Ethiopia,Benshangul Gumuz,Mao-Komo
1285,2011-04-01,2.0,Ethiopia,Gambela,Agniwak
1103,2011-04-01,3.0,Ethiopia,Oromia,East Hararge
1288,2011-04-01,2.0,Ethiopia,Tigray,East Tigray
6369,2011-04-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
6370,2011-04-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
1105,2011-04-01,3.0,Ethiopia,Afar,Kilbati
4749,2011-04-01,4.0,Ethiopia,Somali,Nogob
4750,2011-04-01,4.0,Ethiopia,Somali,Dollo
6332,2011-04-01,1.0,Ethiopia,SNNPR,Sheka
1236,2011-04-01,2.0,Ethiopia,SNNPR,Sidama
1061,2011-04-01,3.0,Ethiopia,Somali,Afder
1237,2011-04-01,2.0,Ethiopia,SNNPR,Alaba
1238,2011-04-01,2.0,Ethiopia,Oromia,Arsi
6335,2011-04-01,1.0,Ethiopia,SNNPR,Basketo
6336,2011-04-01,1.0,Ethiopia,SNNPR,Bench Maji
1241,2011-04-01,2.0,Ethiopia,Tigray,Central Tigray
1242,2011-04-01,2.0,Ethiopia,SNNPR,Dawro
1244,2011-04-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
6338,2011-04-01,1.0,Ethiopia,Amhara,East Gojam
1246,2011-04-01,2.0,Ethiopia,Oromia,East Shewa
1071,2011-04-01,3.0,Ethiopia,SNNPR,Gamo Gofa
1251,2011-04-01,2.0,Ethiopia,SNNPR,Gurage
6345,2011-04-01,1.0,Ethiopia,Oromia,Horo Guduru
6347,2011-04-01,1.0,Ethiopia,Oromia,Jimma
1078,2011-04-01,3.0,Ethiopia,SNNPR,Kembata Tembaro
6348,2011-04-01,1.0,Ethiopia,SNNPR,Keffa
6350,2011-04-01,1.0,Ethiopia,SNNPR,Konta
1260,2011-04-01,2.0,Ethiopia,Gambela,Mezhenger
1261,2011-04-01,2.0,Ethiopia,Amhara,North Shewa
1264,2011-04-01,2.0,Ethiopia,Amhara,Oromia
1266,2011-04-01,2.0,Ethiopia,Amhara,South Gondar
1088,2011-04-01,3.0,Ethiopia,SNNPR,South Omo
1268,2011-04-01,2.0,Ethiopia,Amhara,South Wollo
1270,2011-04-01,2.0,Ethiopia,Amhara,Argoba
1091,2011-04-01,3.0,Ethiopia,Amhara,Wag Himra
1272,2011-04-01,2.0,Ethiopia,Oromia,West Arsi
1274,2011-04-01,2.0,Ethiopia,Oromia,West Shewa
6361,2011-04-01,1.0,Ethiopia,Tigray,West Tigray
1094,2011-04-01,3.0,Ethiopia,SNNPR,Wolayita
6362,2011-04-01,1.0,Ethiopia,SNNPR,Yem
1097,2011-04-01,3.0,Ethiopia,Afar,Gabi
1099,2011-04-01,3.0,Ethiopia,Afar,Khari
1282,2011-04-01,2.0,Ethiopia,Tigray,Northwest Tigray
1286,2011-04-01,2.0,Ethiopia,Benshangul Gumuz,Asosa
6372,2011-04-01,1.0,Ethiopia,Oromia,South West Shewa
1107,2011-04-01,3.0,Ethiopia,SNNPR,Hadiya
1295,2011-04-01,2.0,Ethiopia,SNNPR,Silltie
1297,2011-04-01,2.0,Ethiopia,Oromia,North Shewa
6898,2011-04-01,99.0,Ethiopia,Harari,Harari
6373,2011-04-01,1.0,Ethiopia,Amhara,North Gondar
6358,2011-04-01,1.0,Ethiopia,Amhara,West Gojam
6334,2011-04-01,1.0,Ethiopia,Amhara,Awi
6366,2011-04-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6905,2011-04-01,99.0,Ethiopia,Addis Ababa,Region 14
1175,2017-10-01,2.0,Ethiopia,SNNPR,Segen
5253,2017-10-01,1.0,Ethiopia,Oromia,Bale
1696,2017-10-01,2.0,Ethiopia,Oromia,Borena
4852,2017-10-01,3.0,Ethiopia,Somali,Jarar
5266,2017-10-01,1.0,Ethiopia,Oromia,East Wellega
1191,2017-10-01,2.0,Ethiopia,SNNPR,Gedeo
1192,2017-10-01,2.0,Ethiopia,Oromia,Gujii
5271,2017-10-01,1.0,Ethiopia,Oromia,Ilubabor
1195,2017-10-01,2.0,Ethiopia,Somali,Fafan
5275,2017-10-01,1.0,Ethiopia,Oromia,Kelem
6716,2017-10-01,4.0,Ethiopia,Somali,Korahe
1706,2017-10-01,2.0,Ethiopia,Somali,Liben
1202,2017-10-01,2.0,Ethiopia,Amhara,North Wollo
5281,2017-10-01,1.0,Ethiopia,Gambela,Nuer
1204,2017-10-01,2.0,Ethiopia,Somali,Sitti
1711,2017-10-01,2.0,Ethiopia,Tigray,South Tigray
1212,2017-10-01,2.0,Ethiopia,Oromia,West Hararge
5291,2017-10-01,1.0,Ethiopia,Oromia,West Wellega
1216,2017-10-01,2.0,Ethiopia,Afar,Awusi
1218,2017-10-01,2.0,Ethiopia,Afar,Fanti
4856,2017-10-01,3.0,Ethiopia,Somali,Shebelle
5298,2017-10-01,1.0,Ethiopia,Gambela,Itang
5299,2017-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5301,2017-10-01,1.0,Ethiopia,Gambela,Agniwak
1721,2017-10-01,2.0,Ethiopia,Oromia,East Hararge
1225,2017-10-01,2.0,Ethiopia,Tigray,East Tigray
5303,2017-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5304,2017-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
1725,2017-10-01,2.0,Ethiopia,Afar,Kilbati
1727,2017-10-01,2.0,Ethiopia,Somali,Nogob
6721,2017-10-01,4.0,Ethiopia,Somali,Dollo
5254,2017-10-01,1.0,Ethiopia,SNNPR,Sheka
1178,2017-10-01,2.0,Ethiopia,SNNPR,Sidama
4851,2017-10-01,3.0,Ethiopia,Somali,Afder
1180,2017-10-01,2.0,Ethiopia,SNNPR,Alaba
5259,2017-10-01,1.0,Ethiopia,Oromia,Arsi
1182,2017-10-01,2.0,Ethiopia,SNNPR,Basketo
5261,2017-10-01,1.0,Ethiopia,SNNPR,Bench Maji
1184,2017-10-01,2.0,Ethiopia,Tigray,Central Tigray
1185,2017-10-01,2.0,Ethiopia,SNNPR,Dawro
1187,2017-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
5264,2017-10-01,1.0,Ethiopia,Amhara,East Gojam
1189,2017-10-01,2.0,Ethiopia,Oromia,East Shewa
1190,2017-10-01,2.0,Ethiopia,SNNPR,Gamo Gofa
5269,2017-10-01,1.0,Ethiopia,SNNPR,Gurage
5270,2017-10-01,1.0,Ethiopia,Oromia,Horo Guduru
5272,2017-10-01,1.0,Ethiopia,Oromia,Jimma
1197,2017-10-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
5274,2017-10-01,1.0,Ethiopia,SNNPR,Keffa
5276,2017-10-01,1.0,Ethiopia,SNNPR,Konta
5278,2017-10-01,1.0,Ethiopia,Gambela,Mezhenger
5279,2017-10-01,1.0,Ethiopia,Amhara,North Shewa
5282,2017-10-01,1.0,Ethiopia,Amhara,Oromia
5283,2017-10-01,1.0,Ethiopia,Amhara,South Gondar
1206,2017-10-01,2.0,Ethiopia,SNNPR,South Omo
1710,2017-10-01,2.0,Ethiopia,Amhara,South Wollo
5286,2017-10-01,1.0,Ethiopia,Amhara,Argoba
1712,2017-10-01,2.0,Ethiopia,Amhara,Wag Himra
1211,2017-10-01,2.0,Ethiopia,Oromia,West Arsi
5290,2017-10-01,1.0,Ethiopia,Oromia,West Shewa
5292,2017-10-01,1.0,Ethiopia,Tigray,West Tigray
1214,2017-10-01,2.0,Ethiopia,SNNPR,Wolayita
5293,2017-10-01,1.0,Ethiopia,SNNPR,Yem
1217,2017-10-01,2.0,Ethiopia,Afar,Gabi
1219,2017-10-01,2.0,Ethiopia,Afar,Khari
5297,2017-10-01,1.0,Ethiopia,Tigray,Northwest Tigray
5302,2017-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
5306,2017-10-01,1.0,Ethiopia,Oromia,South West Shewa
1229,2017-10-01,2.0,Ethiopia,SNNPR,Hadiya
1230,2017-10-01,2.0,Ethiopia,SNNPR,Silltie
5310,2017-10-01,1.0,Ethiopia,Oromia,North Shewa
1194,2017-10-01,2.0,Ethiopia,Harari,Harari
5307,2017-10-01,1.0,Ethiopia,Amhara,North Gondar
5288,2017-10-01,1.0,Ethiopia,Amhara,West Gojam
5260,2017-10-01,1.0,Ethiopia,Amhara,Awi
5300,2017-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
5305,2017-10-01,1.0,Ethiopia,Addis Ababa,Region 14
3410,2014-10-01,1.0,Ethiopia,SNNPR,Segen
3411,2014-10-01,1.0,Ethiopia,Oromia,Bale
1299,2014-10-01,2.0,Ethiopia,Oromia,Borena
4790,2014-10-01,2.0,Ethiopia,Somali,Jarar
3426,2014-10-01,1.0,Ethiopia,Oromia,East Wellega
3428,2014-10-01,1.0,Ethiopia,SNNPR,Gedeo
4793,2014-10-01,2.0,Ethiopia,Oromia,Gujii
3433,2014-10-01,1.0,Ethiopia,Oromia,Ilubabor
4794,2014-10-01,2.0,Ethiopia,Somali,Fafan
3437,2014-10-01,1.0,Ethiopia,Oromia,Kelem
4796,2014-10-01,2.0,Ethiopia,Somali,Korahe
4797,2014-10-01,2.0,Ethiopia,Somali,Liben
3442,2014-10-01,1.0,Ethiopia,Amhara,North Wollo
3443,2014-10-01,1.0,Ethiopia,Gambela,Nuer
4802,2014-10-01,2.0,Ethiopia,Somali,Sitti
3449,2014-10-01,1.0,Ethiopia,Tigray,South Tigray
4809,2014-10-01,2.0,Ethiopia,Oromia,West Hararge
3456,2014-10-01,1.0,Ethiopia,Oromia,West Wellega
4811,2014-10-01,2.0,Ethiopia,Afar,Awusi
4813,2014-10-01,2.0,Ethiopia,Afar,Fanti
4815,2014-10-01,2.0,Ethiopia,Somali,Shebelle
3466,2014-10-01,1.0,Ethiopia,Gambela,Itang
3467,2014-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
3469,2014-10-01,1.0,Ethiopia,Gambela,Agniwak
6799,2014-10-01,1.0,Ethiopia,Oromia,East Hararge
3472,2014-10-01,1.0,Ethiopia,Tigray,East Tigray
3473,2014-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
3474,2014-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
4823,2014-10-01,2.0,Ethiopia,Afar,Kilbati
4826,2014-10-01,2.0,Ethiopia,Somali,Nogob
4827,2014-10-01,2.0,Ethiopia,Somali,Dollo
3412,2014-10-01,1.0,Ethiopia,SNNPR,Sheka
3414,2014-10-01,1.0,Ethiopia,SNNPR,Sidama
4785,2014-10-01,2.0,Ethiopia,Somali,Afder
3416,2014-10-01,1.0,Ethiopia,SNNPR,Alaba
3417,2014-10-01,1.0,Ethiopia,Oromia,Arsi
3419,2014-10-01,1.0,Ethiopia,SNNPR,Basketo
3420,2014-10-01,1.0,Ethiopia,SNNPR,Bench Maji
3421,2014-10-01,1.0,Ethiopia,Tigray,Central Tigray
3422,2014-10-01,1.0,Ethiopia,SNNPR,Dawro
4791,2014-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
3424,2014-10-01,1.0,Ethiopia,Amhara,East Gojam
3425,2014-10-01,1.0,Ethiopia,Oromia,East Shewa
3427,2014-10-01,1.0,Ethiopia,SNNPR,Gamo Gofa
3430,2014-10-01,1.0,Ethiopia,SNNPR,Gurage
3432,2014-10-01,1.0,Ethiopia,Oromia,Horo Guduru
3434,2014-10-01,1.0,Ethiopia,Oromia,Jimma
3435,2014-10-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
3436,2014-10-01,1.0,Ethiopia,SNNPR,Keffa
3438,2014-10-01,1.0,Ethiopia,SNNPR,Konta
3440,2014-10-01,1.0,Ethiopia,Gambela,Mezhenger
3441,2014-10-01,1.0,Ethiopia,Amhara,North Shewa
3444,2014-10-01,1.0,Ethiopia,Amhara,Oromia
3446,2014-10-01,1.0,Ethiopia,Amhara,South Gondar
1305,2014-10-01,2.0,Ethiopia,SNNPR,South Omo
3448,2014-10-01,1.0,Ethiopia,Amhara,South Wollo
3450,2014-10-01,1.0,Ethiopia,Amhara,Argoba
3451,2014-10-01,1.0,Ethiopia,Amhara,Wag Himra
3452,2014-10-01,1.0,Ethiopia,Oromia,West Arsi
3455,2014-10-01,1.0,Ethiopia,Oromia,West Shewa
3457,2014-10-01,1.0,Ethiopia,Tigray,West Tigray
3458,2014-10-01,1.0,Ethiopia,SNNPR,Wolayita
3459,2014-10-01,1.0,Ethiopia,SNNPR,Yem
6544,2014-10-01,3.0,Ethiopia,Afar,Gabi
4814,2014-10-01,2.0,Ethiopia,Afar,Khari
3465,2014-10-01,1.0,Ethiopia,Tigray,Northwest Tigray
3470,2014-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
3476,2014-10-01,1.0,Ethiopia,Oromia,South West Shewa
3479,2014-10-01,1.0,Ethiopia,SNNPR,Hadiya
3481,2014-10-01,1.0,Ethiopia,SNNPR,Silltie
3482,2014-10-01,1.0,Ethiopia,Oromia,North Shewa
3431,2014-10-01,1.0,Ethiopia,Harari,Harari
3478,2014-10-01,1.0,Ethiopia,Amhara,North Gondar
3453,2014-10-01,1.0,Ethiopia,Amhara,West Gojam
3418,2014-10-01,1.0,Ethiopia,Amhara,Awi
3468,2014-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
3475,2014-10-01,1.0,Ethiopia,Addis Ababa,Region 14
1311,2013-10-01,2.0,Ethiopia,SNNPR,Segen
1312,2013-10-01,2.0,Ethiopia,Oromia,Bale
1313,2013-10-01,2.0,Ethiopia,Oromia,Borena
1322,2013-10-01,2.0,Ethiopia,Somali,Jarar
5965,2013-10-01,1.0,Ethiopia,Oromia,East Wellega
1327,2013-10-01,2.0,Ethiopia,SNNPR,Gedeo
1328,2013-10-01,2.0,Ethiopia,Oromia,Gujii
5971,2013-10-01,1.0,Ethiopia,Oromia,Ilubabor
1331,2013-10-01,2.0,Ethiopia,Somali,Fafan
5974,2013-10-01,1.0,Ethiopia,Oromia,Kelem
1336,2013-10-01,2.0,Ethiopia,Somali,Korahe
1337,2013-10-01,2.0,Ethiopia,Somali,Liben
1339,2013-10-01,2.0,Ethiopia,Amhara,North Wollo
5978,2013-10-01,1.0,Ethiopia,Gambela,Nuer
1342,2013-10-01,2.0,Ethiopia,Somali,Sitti
1346,2013-10-01,2.0,Ethiopia,Tigray,South Tigray
1350,2013-10-01,2.0,Ethiopia,Oromia,West Hararge
5986,2013-10-01,1.0,Ethiopia,Oromia,West Wellega
1354,2013-10-01,2.0,Ethiopia,Afar,Awusi
1356,2013-10-01,2.0,Ethiopia,Afar,Fanti
1358,2013-10-01,2.0,Ethiopia,Somali,Shebelle
5991,2013-10-01,1.0,Ethiopia,Gambela,Itang
5992,2013-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5994,2013-10-01,1.0,Ethiopia,Gambela,Agniwak
1363,2013-10-01,2.0,Ethiopia,Oromia,East Hararge
1364,2013-10-01,2.0,Ethiopia,Tigray,East Tigray
5996,2013-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5997,2013-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
6697,2013-10-01,3.0,Ethiopia,Afar,Kilbati
1369,2013-10-01,2.0,Ethiopia,Somali,Nogob
1371,2013-10-01,2.0,Ethiopia,Somali,Dollo
5955,2013-10-01,1.0,Ethiopia,SNNPR,Sheka
1314,2013-10-01,2.0,Ethiopia,SNNPR,Sidama
6685,2013-10-01,3.0,Ethiopia,Somali,Afder
1316,2013-10-01,2.0,Ethiopia,SNNPR,Alaba
1317,2013-10-01,2.0,Ethiopia,Oromia,Arsi
5960,2013-10-01,1.0,Ethiopia,SNNPR,Basketo
5961,2013-10-01,1.0,Ethiopia,SNNPR,Bench Maji
1320,2013-10-01,2.0,Ethiopia,Tigray,Central Tigray
5962,2013-10-01,1.0,Ethiopia,SNNPR,Dawro
1323,2013-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
5963,2013-10-01,1.0,Ethiopia,Amhara,East Gojam
1325,2013-10-01,2.0,Ethiopia,Oromia,East Shewa
1326,2013-10-01,2.0,Ethiopia,SNNPR,Gamo Gofa
5969,2013-10-01,1.0,Ethiopia,SNNPR,Gurage
5970,2013-10-01,1.0,Ethiopia,Oromia,Horo Guduru
5972,2013-10-01,1.0,Ethiopia,Oromia,Jimma
1333,2013-10-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
5973,2013-10-01,1.0,Ethiopia,SNNPR,Keffa
5975,2013-10-01,1.0,Ethiopia,SNNPR,Konta
5976,2013-10-01,1.0,Ethiopia,Gambela,Mezhenger
5977,2013-10-01,1.0,Ethiopia,Amhara,North Shewa
1341,2013-10-01,2.0,Ethiopia,Amhara,Oromia
5979,2013-10-01,1.0,Ethiopia,Amhara,South Gondar
1344,2013-10-01,2.0,Ethiopia,SNNPR,South Omo
1345,2013-10-01,2.0,Ethiopia,Amhara,South Wollo
1347,2013-10-01,2.0,Ethiopia,Amhara,Argoba
1348,2013-10-01,2.0,Ethiopia,Amhara,Wag Himra
5982,2013-10-01,1.0,Ethiopia,Oromia,West Arsi
5985,2013-10-01,1.0,Ethiopia,Oromia,West Shewa
5987,2013-10-01,1.0,Ethiopia,Tigray,West Tigray
1352,2013-10-01,2.0,Ethiopia,SNNPR,Wolayita
5988,2013-10-01,1.0,Ethiopia,SNNPR,Yem
1355,2013-10-01,2.0,Ethiopia,Afar,Gabi
1357,2013-10-01,2.0,Ethiopia,Afar,Khari
1359,2013-10-01,2.0,Ethiopia,Tigray,Northwest Tigray
5995,2013-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
5999,2013-10-01,1.0,Ethiopia,Oromia,South West Shewa
1368,2013-10-01,2.0,Ethiopia,SNNPR,Hadiya
1370,2013-10-01,2.0,Ethiopia,SNNPR,Silltie
1372,2013-10-01,2.0,Ethiopia,Oromia,North Shewa
1330,2013-10-01,2.0,Ethiopia,Harari,Harari
6000,2013-10-01,1.0,Ethiopia,Amhara,North Gondar
5983,2013-10-01,1.0,Ethiopia,Amhara,West Gojam
5959,2013-10-01,1.0,Ethiopia,Amhara,Awi
5993,2013-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6945,2013-10-01,99.0,Ethiopia,Addis Ababa,Region 14
1435,2011-10-01,3.0,Ethiopia,SNNPR,Segen
4726,2011-10-01,4.0,Ethiopia,Oromia,Bale
1437,2011-10-01,3.0,Ethiopia,Oromia,Borena
1441,2011-10-01,3.0,Ethiopia,Somali,Jarar
5726,2011-10-01,1.0,Ethiopia,Oromia,East Wellega
2855,2011-10-01,2.0,Ethiopia,SNNPR,Gedeo
4731,2011-10-01,4.0,Ethiopia,Oromia,Gujii
5732,2011-10-01,1.0,Ethiopia,Oromia,Ilubabor
2859,2011-10-01,2.0,Ethiopia,Somali,Fafan
5735,2011-10-01,1.0,Ethiopia,Oromia,Kelem
4733,2011-10-01,4.0,Ethiopia,Somali,Korahe
4734,2011-10-01,4.0,Ethiopia,Somali,Liben
2864,2011-10-01,2.0,Ethiopia,Amhara,North Wollo
2865,2011-10-01,2.0,Ethiopia,Gambela,Nuer
2867,2011-10-01,2.0,Ethiopia,Somali,Sitti
2871,2011-10-01,2.0,Ethiopia,Tigray,South Tigray
2875,2011-10-01,2.0,Ethiopia,Oromia,West Hararge
5748,2011-10-01,1.0,Ethiopia,Oromia,West Wellega
2879,2011-10-01,2.0,Ethiopia,Afar,Awusi
2881,2011-10-01,2.0,Ethiopia,Afar,Fanti
4737,2011-10-01,4.0,Ethiopia,Somali,Shebelle
5755,2011-10-01,1.0,Ethiopia,Gambela,Itang
5756,2011-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5758,2011-10-01,1.0,Ethiopia,Gambela,Agniwak
2888,2011-10-01,2.0,Ethiopia,Oromia,East Hararge
2889,2011-10-01,2.0,Ethiopia,Tigray,East Tigray
5760,2011-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5761,2011-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
1469,2011-10-01,3.0,Ethiopia,Afar,Kilbati
4739,2011-10-01,4.0,Ethiopia,Somali,Nogob
4740,2011-10-01,4.0,Ethiopia,Somali,Dollo
5717,2011-10-01,1.0,Ethiopia,SNNPR,Sheka
2842,2011-10-01,2.0,Ethiopia,SNNPR,Sidama
1438,2011-10-01,3.0,Ethiopia,Somali,Afder
2844,2011-10-01,2.0,Ethiopia,SNNPR,Alaba
5720,2011-10-01,1.0,Ethiopia,Oromia,Arsi
2847,2011-10-01,2.0,Ethiopia,SNNPR,Basketo
5722,2011-10-01,1.0,Ethiopia,SNNPR,Bench Maji
2848,2011-10-01,2.0,Ethiopia,Tigray,Central Tigray
5723,2011-10-01,1.0,Ethiopia,SNNPR,Dawro
6955,2011-10-01,99.0,Ethiopia,Dire Dawa,Dire Dawa
5724,2011-10-01,1.0,Ethiopia,Amhara,East Gojam
5725,2011-10-01,1.0,Ethiopia,Oromia,East Shewa
2854,2011-10-01,2.0,Ethiopia,SNNPR,Gamo Gofa
5730,2011-10-01,1.0,Ethiopia,SNNPR,Gurage
5731,2011-10-01,1.0,Ethiopia,Oromia,Horo Guduru
5733,2011-10-01,1.0,Ethiopia,Oromia,Jimma
2861,2011-10-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
5734,2011-10-01,1.0,Ethiopia,SNNPR,Keffa
5736,2011-10-01,1.0,Ethiopia,SNNPR,Konta
5737,2011-10-01,1.0,Ethiopia,Gambela,Mezhenger
5738,2011-10-01,1.0,Ethiopia,Amhara,North Shewa
2866,2011-10-01,2.0,Ethiopia,Amhara,Oromia
2868,2011-10-01,2.0,Ethiopia,Amhara,South Gondar
1454,2011-10-01,3.0,Ethiopia,SNNPR,South Omo
2870,2011-10-01,2.0,Ethiopia,Amhara,South Wollo
